,precision,recall,f1-score,support
angry,0.4909090909090909,0.42275574112734865,0.4542905215928211,958.0
disgust,0.5,0.009009009009009009,0.017699115044247787,111.0
fear,0.41431670281995664,0.1865234375,0.2572390572390572,1024.0
happy,0.7061611374407583,0.8399098083427283,0.7672502574665293,1774.0
neutral,0.4851063829787234,0.5547445255474452,0.5175936435868331,1233.0
sad,0.41274438812454745,0.4570970328789094,0.4337899543378995,1247.0
surprise,0.6390293225480284,0.7605294825511432,0.6945054945054945,831.0
accuracy,0.553496795764837,0.553496795764837,0.553496795764837,0.553496795764837
macro avg,0.5211810035458722,0.4615098624223691,0.4489097205389832,7178.0
weighted avg,0.5358934048258481,0.553496795764837,0.5318964578364787,7178.0
